E	'i
شکاربانی	SekArbAni
شکارچی	SekArCi
شکارگاه	SekArgAh
شکارگاهی	SekArgahi
شکارگر	SekArgar
شکارگری	SekArgari
شکاری	SekAri
شکاف	SekAf
شکافت	SekAft
شکافتنی	SekAftani
شکافته	SekAfte
شکافتگی	SekAftegi
شکافنده	SekAfande
شکان	SekAn
شکاند	SekAnd
شکاک	SakkAk
شکاکیت	SakkAkiyyat
شکایات	SekAyAt
شکایت	SekAyat
شکایت‌‌آمیز	SekAyatAmiz
شکایت‌‌نامه	SekAyatnAme
شکایت‌‌کننده	SekAyatkonande
شکر	Sekar
شکراب	SekarAb
شکرالله	SokrollAh
شکراللهی	SokrollAhi
شکرانه	SokrAne
شکربار	SekarbAr
شکرتیغال	SekartiqAl
شکرخند	Sekarxand
شکرخواب	SekarxAb
شکردان	SekardAn
شکرریز	Sekarriz
شکرستان	SekarestAn
شکرسخن	Sekarsoxan
شکرپاره	SekarpAre
شکرپاش	SekarpAS
شکرپنیر	Sekarpanir
شکرک	Sekarak
شکرگزار	SokrgozAr
شکرگزاری	SokrgozAri
شکری	Sekari
شکریان	SokriyAn
شکرین	Sekarin
شکری‌‌پور	Sokripur
شکر‌آباد	SokrAbAd
شکر‌‌آب	SekarAb
شکست	Sekast
شکستنی	Sekastani
شکسته	Sekaste
شکسته‌بسته	Sekastebaste
شکسته‌دل	Sekastedel
شکسته‌دلی	Sekastedeli
شکسته‌نفس	Sekastenafs
شکسته‌نفسی	Sekastenafsi
شکسته‌نویسی	Sekastenevisi
شکسته‌‌بند	Sekasteband
شکسته‌‌بندی	Sekastebandi
شکسته‌‌شده	SekasteSode
شکسته‌‌نستعلیق	Sekastenasta'liq
شکستگی	Sekastegi
شکست‌خورده	Sekastxorde
شکست‌ناپذیری	SekastnApaziri
شکست‌‌ناپذیر	SekastnApazir
شکسپیر	Sekspir
شکفت	Sekoft
شکفته	Sekofte
شکفتگی	Sekoftegi
شکل	Sekl
شکلات	SokolAt
شکلاتی	SokolAti
شکلات‌‌سازی	SokolAtsAzi
شکلک	Seklak
شکلی	Sekli
شکل‌دهنده	Sekldahande
شکل‌دهی	Sekldehi
شکل‌پذیری	Seklpaziri
شکل‌گیری	Seklgiri
شکل‌‌بندی	Seklbandi
شکل‌‌گرفته	Seklgerefte
شکل‌‌یابی	SeklyAbi
شکل‌‌یافته	SeklyAfte
شکم	Sekam
شکمباره	SekambAre
شکمبه	Sekambe
شکمو	Sekamu
شکمپا	SekampA
شکمی	Sekami
شکم‌روش	SekamraveS
شکم‌پایان	SekampAyAn
شکم‌پرست	Sekamparast
شکم‌پرور	Sekamparvar
شکم‌‌بند	Sekamband
شکن	Sekan
شکنبه	Sekanbe
شکنج	Sekanj
شکنجه	Sekanje
شکنجه‌شده	SekanjeSode
شکنجه‌گر	Sekanjegar
شکننده	Sekanande
شکنندگی	Sekanandegi
شکوائیه	SekvA'iyye
شکور	Sakur
شکوری	Sakuri
شکوری‌‌راد	SakuriyerAd
شکوف	Sekuf
شکوفا	SokufA
شکوفائی	SokufA'i
شکوفان	SukufAn
شکوفایی	SekufAyi
شکوفنده	Sokufande
شکوفه	Sokufe
شکوفید	Sekufid
شکوه	Sekve
شکوهمند	Sokuhmand
شکوهمندی	Sokuhmandi
شکوهی	Sokuhi
شکوک	Sukuk
شکی	Sakki
شکیات	SakkiyyAt
شکیب	Sakib
شکیبا	SakibA
شکیبائی	SakibA'i
شکیبایی	SakibAyi
شکیل	Sakil
شک‌ماهیان	SokmAhiyAn
شگرد	Segerd
شگرف	Segerf
شگرفی	Segerfi
شگفت	Segeft
شگفتا	SegeftA
شگفتی	Segefti
شگفتی‌‌آفرین	Segefti'Afarin
شگفتی‌‌ساز	SegeftisAz
شگفت‌آور	SegeftAvar
شگفت‌انگیز	Segeftangiz
شگفت‌زدگی	Segeftzadegi
شگفت‌‌زده	Segeftzade
شگون	Sugun
شیاد	SayyAd
شیار	SiyAr
شیاردار	SiyArdAr
شیارزنی	SiyArzani
شیاطین	SayAtin
شیاع	SiyA'
شیاف	SiyAf
شیب	Sib
شیبان	SibAn
شیبانی	SeybAni
شیبک	Sibak
شیبی	Sibi
شیب‌‌دار	SibdAr
شیت	Siyat
شیخ	Seyx
شیخاوندی	SeyxAvandi
شیخوخیت	Seyxuxiyyat
شیخک	Seyxak
شیخی	Seyxi
شیخین	Seyxeyn
شیخیه	Seyxiyye
شیخ‌نشین	SeyxneSin
شیخ‌‌الاسلام	Seyxol'eslAm
شیخ‌‌الاسلامی	Seyxol'eslAmi
شیخ‌‌الرئیس	Seyxorra'is
شیخ‌‌بهایی	SeyxbahAyi
شیخ‌‌زاده	SeyxzAde
شیدا	SeydA
شیدائی	SeydA'i
شیدایی	SeydAyi
شیده	Side
شیر	Sir
شیرآباد	SirAbAd
شیرآلات	SirAlAt
شیرابه	SirAbe
شیراز	SirAz
شیرازه	SirAze
شیرازی	SirAzi
شیرازیان	SirAziyAn
شیرافکن	Sirafkan
شیرانی	SirAni
شیراک	SirAk
شیربان	SirbAn
شیربرنج	Sirberenj
شیربها	SirbahA
شیرتوشیر	SirtuSir
شیرجه	Sirje
شیرجه‌‌رو	Sirjerow
شیرخانی	SirxAni
شیرخدایی	SirxodAyi
شیرخشت	SirxeSt
شیرخوار	SirxAr
شیرخواره	SirxAre
شیرخوارگاه	SirxArgAh
شیرخوارگی	SirxAregi
شیرخواری	SirxAri
شیرخور	Sirxor
شیردار	SirdAr
شیردان	SirdAn
شیردل	Sirdel
شیرده	Sirdeh
شیردهی	Sirdehi
شیردوش	SirduS
شیردوشی	SirduSi
شیرزاد	SirzAd
شیرزادی	SirzAdi
شیرزن	Sirzan
شیرسازی	SirsAzi
شیرسنگی	Sirsangi
شیرسوار	SirsavAr
شیرشکری	SirSekari
شیرعلی	Sir'ali
شیرفروش	SirfuruS
شیرمال	SirmAl
شیرماهی	SirmAhi
شیرمحمد	Sirmohammad
شیرمحمدی	Sirmohammadi
شیرمرد	Sirmard
شیرمست	Sirmast
شیرنگی	Sirangi
شیره	Sire
شیره‌ای	Sire'i
شیره‌‌کشخانه	SirekeSxAne
شیرو	Siru
شیروان	SirvAn
شیروانی	SirvAni
شیرودی	Sirudi
شیرویه	Siruye
شیرپنیر	Sirpanir
شیرک	Sirak
شیرکاکائو	SirkAkA'u
شیرکوه	Sirkuh
شیرگاه	SirgAh
شیری	Siri
شیرین	Sirin
شیرینی	Sirini
شیرینی‌جات	SirinijAt
شیرینی‌خوران	SirinixorAn
شیرینی‌پز	Sirinipaz
شیرینی‌پزی	Sirinipazi
شیرینی‌‌سازی	SirinisAzi
شیرینی‌‌فروش	SirinifuruS
شیرین‌پلو	Sirinpolow
شیرین‌کاری	SirinkAri
شیرین‌‌بیان	SirinbayAn
شیرین‌‌زبان	SirinzabAn
شیرین‌‌زبانی	SirinzabAni
شیرین‌‌سازی	SirinsAzi
شیرین‌‌سخن	Sirinsoxan
شیرین‌‌کام	SirinkAm
شیرین‌‌گفتار	SiringoftAr
شیری‌‌رنگ	Sirirang
شیر‌‌خشک	SirexoSk
شیر‌‌و‌‌خورشید	SiroxorSid
شیز	Siz
شیزوفرنی	Sizoferni
شیست	Sist
شیشعان	SiSa'An
شیشلیک	SiSlik
شیشه	SiSe
شیشه‌ای	SiSe'i
شیشه‌سازی	SiSesAzi
شیشه‌شوی	SiSeSuy
شیشه‌گر	SiSegar
شیشه‌‌بر	SiSebor
شیشه‌‌پاک‌‌کن	SiSepAkkon
شیشه‌‌گری	SiSegari
شیشک	SiSak
شیطان	SeytAn
شیطانک	SeytAnak
شیطانی	SeytAni
شیطان‌‌صفت	SeytAnsefat
شیطان‌‌پرست	SeytAnparast
شیطنت	Seytanat
شیطنت‌‌آمیز	SeytanatAmiz
شیع	Siya'
شیعه	Si'e
شیعه‌‌مذهب	Si'emazhab
شیعه‌‌نشین	Si'eneSin
شیعه‌‌گری	Si'egari
شیعی	Si'i
شیعی‌‌مذهب	Si'imazhab
شیفت	Sift
شیفته	Sifte
شیفته‌‌وار	SiftevAr
شیفتگی	Siftegi
شیل	Sil
شیلات	SilAt
شیلاتی	SilAti
شیلان	SilAn
شیلم	Seylam
شیلنگ	Silang
شیله	Sile
شیله‌پیله	Silepile
شیلی	Sili
شیلیایی	SiliyAyi
شیلینگ	Siling
شیما	SimA
شیمی	Simi
شیمیائی	SimiyA'i
شیمیایی	SimiyAyi
شیمیدان	SimidAn
شیمیست	Simist
شیمی‌فیزیک	Simifizik
شیمی‌‌درمانی	SimidarmAni
شین	Sin
شینتو	Sinto
شیهه	Seyhe
شیو	Siv
شیوا	SivA
شیوائی	SivA'i
شیوایی	SivAyi
شیوخ	Suyux
شیوع	Soyu'
شیون	Sivan
شیوه	Sive
شیوه‌ای	Sive'i
شیوه‌نامه	SivenAme
شیوه‌گرایی	SivegerAyi
شیپور	Seypur
شیپوره	Seypure
شیپورچی	SeypurCi
شیپوری	Seypuri
شیک	Sik
شیکاگو	SikAgo
شیکی	Siki
شیک‌‌پوش	SikpuS
شی‌ء	Sey'
ص	sAd
صائب	sA'eb
صائبی	sA'ebi
صائد	sA'ed
صابر	sAber
صابری	sAberi
صابون	sAbun
صابونچی	sAbunCi
صابونی	sAbuni
صابون‌‌سازی	sAbunsAzi
صابی	sAbi
صاحب	sAheb
صاحبدلی	sAhebdeli
صاحبقران	sAhebqarAn
صاحبنظری	sAhebnazari
صاحبی	sAhebi
صاحب‌جمع	sAhebjam'
صاحب‌خانه	sAhebxAne
صاحب‌زاده	sAhebzAde
صاحب‌سخن	sAhebsoxan
صاحب‌قرانیه	sAhebqerAniyye
صاحب‌منصب	sAhebmansab
صاحب‌نام	sAhebnAm
صاحب‌نظر	sAhebnazar
صاحب‌‌الامر	sAhebol'amr
صاحب‌‌الزمان	sAhebozzamAn
صاحب‌‌الزمانی	sAhebozzamAni
صاحب‌‌امتیاز	sAheb'emtiyAz
صاحب‌‌امتیازی	sAheb'emtiyAzi
صاحب‌‌دل	sAhebdel
صاحب‌‌قلم	sAhebqalam
صاحب‌‌مقام	sAhebmaqAm
صاحب‌‌نفوذ	sAhebnofuz
صاحب‌‌کار	sAhebkAr
صاد	sAd
صادر	sAder
صادرات	sAderAt
صادراتی	sAderAti
صادرشده	sAderSode
صادره	sAdere
صادرکننده	sAderkonande
صادق	sAdeq
صادقانه	sAdeqAne
صادقه	sAdeqe
صادقی	sAdeqi
صادقیان	sAdeqiyAn
صادقیه	sAdeqiyye
صادقی‌‌زاده	sAdeqizAde
صادقی‌‌نژاد	sAdeqineZAd
صادق‌زاده	sAdeqzAde
صادق‌‌پور	sAdeqpur
صارمی	sAremi
صاعقه	sA'eqe
صاف	sAf
صافکاری	sAfkAri
صافی	sAfi
صافید	sAfid
صاف‌وساده	sAfosAde
صاف‌وصادق	sAfosAdeq
صاف‌‌کننده	sAfkonande
صالح	sAleh
صالحه	sAlehe
صالحی	sAlehi
صالحیان	sAlehiyAn
صالحیه	sAlehiyye
صالح‌پور	sAlehpur
صالح‌‌آباد	sAlehAbAd
صالح‌‌نیا	sAlehniyA
صامت	sAmet
صانع	sAne'
صانعی	sAne'i
صایب	sAyeb
صایم	sAyem
صبا	sabA
صباح	sabAh
صباحت	sabAhat
صباحی	sabAhi
صبار	sabbAr
صباغ	sabbAq
صباغی	sabbAqi
صباغیان	sabbAqiyAn
صباغ‌پور	sabbAqpur
صباغ‌‌زاده	sabbAqzAde
صباوت	sabAvat
صبایی	sabAyi
صبح	sobh
صبحانه	sobhAne
صبحدم	sobhdam
صبحگاه	sobhgAh
صبحگاهان	sobhgAhAn
صبحگاهی	sobhgAhi
صبحی	sobhi
صبح‌‌خیز	sobhxiz
صبر	sabr
صبرزرد	sabrezard
صبغه	sebqe
صبه	sobbe
صبوح	sabuh
صبوحی	sabuhi
صبور	sabur
صبورانه	saburAne
صبوری	saburi
صبی	sabiy
صبیحه	sabihe
صبیه	sabiyye
صحابه	sahAbe
صحابی	sahAbi
صحاح	sahAh
صحار	sahAr
صحاری	sahAri
صحاف	sahhAf
صحافی	sahhAfi
صحبت	sohbat
صحبتی	sohbati
صحت	sehhat
صحرا	sahrA
صحرائی	sahrA'i
صحرائیان	sahrA'iyAn
صحرانشین	sahrAneSin
صحرانشینی	sahrAneSini
صحرانورد	sahrAnavard
صحرانوردی	sahrAnavardi
صحراگرد	sahrAgard
صحرایی	sahrAyi
صحف	sohof
صحن	sahn
صحنه	sahne
صحنه‌ای	sahne'i
صحنه‌‌آرایی	sahne'ArAyi
صحنه‌‌سازی	sahnesAzi
صحنه‌‌پردازی	sahnepardAzi
صحه	sehhe
صحه‌‌گذاری	sehhegozAri
صحی	sehhi
صحیح	sahih
صحیحه	sahihe
صحیفه	sahife
صحیه	sehhiyye
صخره	saxre
صخره‌ای	saxre'i
صد	sad
صدا	sedA
صدائی	sedA'i
صدابردار	sedAbardAr
صدابرداری	sedAbardAri
صداخفه‌‌کن	sedAxafekon
صدادار	sedAdAr
صدارت	sedArat
صداقت	sedAqat
صداقتی	sedAqati
صدام	saddAm
صداوسیما	sedA'osimA
صداپیشه	sedApiSe
صداگذار	sedAgozAr
صداگذاری	sedAgozAri
صداگیر	sedAgir
صدایی	sedAyi
صدد	sadad
صددرصد	saddarsad
صددروازه	saddarvAze
صدر	sadr
صدرا	sadrA
صدرائی	sadrA'i
صدراعظم	sadre'a'zam
صدراعظمی	sadre'a'zami
صدرالدین	sadreddin
صدرالدینی	sadreddini
صدرالشعرا	sadroSSo'arA
صدرایی	sadrAyi
صدرزاده	sadrzAde
صدرنشین	sadrneSin
صدرنشینی	sadrneSini
صدره	sadrah
صدروزه	sadruze
صدری	sadri
صدر‌‌عاملی	sadre'Ameli
صدسالگی	sadsAlegi
صدف	sadaf
صدفی	sadafi
صدق	sedq
صدقات	sadaqAt
صدقه	sadaqe
صدقی	sedqi
صدقیانی	sedqiyAni
صدمات	sadamAt
صدمه	sadame
صدمه‌‌دیده	sadamedide
صدور	sodur
صدوق	saduq
صدوقی	saduqi
صدگان	sadgAn
صدی	sadi
صدیق	seddiq
صدیقه	seddiqe
صدیقی	sediqi
صدیقیان	sediqiyAn
صدیقین	seddiqin
صد‌‌البته	sadalbatte
صد‌‌تومانی	sadtumAni
صد‌‌دلاری	saddolAri
صد‌‌ساله	sadsAle
صد‌‌ستون	sadsutun
صد‌‌چندان	sadCandAn
صراح	sarAh
صراحت	serAhat
صراحی	sorAhi
صراط	serAt
صراف	sarrAf
صرافت	serAfat
صرافی	sarrAfi
صرب	serb
صربستان	serbestAn
صربی	serbi
صرب‌وکروات	serbokorovAt
صرب‌‌تبار	serbtabAr
صرب‌‌نشین	serbneSin
صرد	sorad
صرصر	sarsar
صرع	sar'
صرعی	sar'i
صرف	sarf
صرفه	sarfe
صرفه‌جویی	sarfejuyi
صرفه‌‌جو	sarfeju
صرفی	sarfi
صرف‌نظر	sarfenazar
صرف‌‌شده	sarfSode
صره	sorre
صریح	sarih
صعب	sa'b
صعب‌الحصول	sa'bolhusul
صعب‌العبور	sa'bol'obur
صعب‌الوصول	sa'bolvusul
صعب‌‌العلاج	sa'bol'alAj
صعوبت	so'ubat
صعود	so'ud
صعودکننده	so'udkonande
صعودی	so'udi
صعوه	sa've
صغار	seqAr
صغر	seqar
صغرا	soqrA
صغیر	saqir
صغیره	saqire
صغیری	saqiri
صف	saf
صفا	safA
صفائی	safA'i
صفائیه	safA'iyye
صفابخش	safAbaxS
صفات	sefAt
صفاتی	sefAti
صفار	saffAr
صفارزاده	saffArzAde
صفارود	safArud
صفاری	saffAri
صفاریان	saffAriyAn
صفاشهر	safASahr
صفاق	sefAq
صفایی	safAyi
صفاییه	safAyiyye
صفایی‌‌پور	safAyipur
صفت	sefat
صفتی	sefati
صفت‌‌الله	sefatollAh
صفحات	safahAt
صفحه	safhe
صفحه‌ای	safhe'i
صفحه‌‌آرایی	safhe'ArAyi
صفحه‌‌بندی	safhebandi
صفحه‌‌کلاچ	safhekelAC
صفحه‌‌کلید	safhekilid
صفدر	safdar
صفدری	safdari
صفر	safar
صفرا	safrA
صفرابر	safrAbor
صفراوی	safrAvi
صفرزاده	safarzAde
صفرعلی	safar'ali
صفری	safari
صفریان	safariyAn
صفر‌‌کیلومتر	sefrkilumetr
صفه	soffe
صفوان	safvAn
صفوت	safvat
صفورا	safurA
صفوف	sofuf
صفوی	safavi
صفویان	safaviyAn
صفویه	safaviyye
صفی	safi
صفیر	safir
صفیری	safiri
صفین	seffeyn
صفیه	safiyye
صفی‌آباد	safi'AbAd
صفی‌‌الدین	safiyaddin
صفی‌‌الله	safiyollAh
صفی‌‌زاده	safizAde
صفی‌‌نیا	safiniyA
صفی‌‌یاری	safiyAri
صف‌آرایی	safArAyi
صف‌‌بندی	safbandi
صل	sell
صلا	salA
صلابت	salAbat
صلابه	sollAbe
صلات	salAt
صلاح	salAh
صلاحیت	salAhiyyat
صلاحیتدار	salAhiyyatdAr
صلاحیت‌‌شده	salAhiyyatSode
صلاح‌دید	salAhdid
صلاح‌‌الدین	salAhaddin
صلاح‌‌اندیشی	salAhandiSi
صلب	solb
صلبی	solbi
صلبیه	solbiyye
صلح	solh
صلحا	solahA
صلحبان	solhbAn
صلحبانی	solhbAni
صلحجو	solhju
صلحی	solhi
صلح‌آمیز	solhAmiz
صلح‌آمیزی	solhAmizi
صلح‌جویانه	solhjuyAne
صلح‌جویی	solhjuyi
صلح‌دوست	solhdust
صلح‌دوستی	solhdusti
صلح‌‌خواهی	solhxAhi
صلح‌‌طلب	solhtalab
صلح‌‌طلبانه	solhtalabAne
صلح‌‌طلبی	solhtalabi
صلح‌‌نامه	solhnAme
صلح‌‌و‌‌صفا	solhosafA
صلصال	salsAl
صله	sele
صلوات	salavAt
صلواتی	salavAti
صلیب	salib
صلیبی	salibi
صلیبی‌‌شکل	salibiSekl
صلی‌‌الله	sallallAh
صلی‌‌الله‌‌علیه‌‌وآله‌‌و‌‌سلم	sallallAho'alayheva'Alehivasallam
صماخ	somAx
صمد	samad
صمدانی	samadAni
صمدخان	samadxAn
صمدزاده	samadzAde
صمدپور	samadpur
صمدی	samadi
صمدیان	samadiyAn
صمدیه	samadiyye
صمصام	samsAm
صمصام‌‌السلطنه	samsAmossaltane
صمغ	samq
صمغی	samqi
صمیم	samim
صمیمانه	samimAne
صمیمی	samimi
صمیمیت	samimiyyat
صنار	sannAr
صناری	sannAri
صناعات	sanA'At
صناعت	sanA'at
صناعتی	sanA'ati
صناعی	sanA'i
صنام	sanAm
صنایع	sanAye'
صنج	senj
صندل	sandal
صندلی	sandali
صندوق	sandoq
صندوقخانه	sandoqxAne
صندوقدار	sandoqdAr
صندوقه	sanduqe
صندوقچه	sanduqCe
صندوقی	sandoGi
صندوق‌داری	sanduqdAri
صنع	son'
صنعا	san'A
صنعت	san'at
صنعتکار	san'atkAr
صنعتگر	san'atgar
صنعتگری	san'atgari
صنعتی	san'ati
صنعتی‌زاده	san'atizAde
صنعتی‌‌سازی	san'atisAzi
صنعتی‌‌گرایی	san'atigerAyi
صنعت‌‌گرایی	san'atgerAyi
صنف	senf
صنفی	senfi
صنم	sanam
صنوبر	senowbar
صنوبری	senowbari
صنوف	sonuf
صنیع	sani'
صنیعی	sani'i
صنیع‌‌الدوله	sani'oddowle
صنیع‌‌الملک	sani'olmolk
صهبا	sahbA
صهیونیزم	sahyunizm
صهیونیست	sahyunist
صهیونیستی	sahyunisti
صهیونیسم	sahyunism
صواب	savAb
صوابدید	savAbdid
صوب	sowb
صوت	sowt
صوتی	sowti
صوت‌شناسی	sowtSenAsi
صور	sovar
صوراسرافیل	sure'esrAfil
صورت	surat
صورتجلسات	suratjalasAt
صورتک	suratak
صورتگر	suratgar
صورتگری	suratgari
صورتی	surati
صورت‌جلسه	suratjalase
صورت‌حساب	surathesAb
صورت‌سازی	suratsAzi
صورت‌مجلس	suratmajles
صورت‌‌بندی	suratbandi
صورت‌‌ساز	suratsAz
صورت‌‌پذیری	suratpaziri
صورت‌‌گرفته	suratgerefte
صوری	suri
صوف	suf
صوفی	sufi
صوفیانه	sufiyAne
صوفیه	sufiyye
صوفی‌‌مشرب	sufimaSrab
صوفی‌‌گری	sufigari
صولت	sowlat
صولتی	sowlati
صولت‌‌الدوله	sowlatoddowle
صوم	sowm
صومعه	sowme'e
صومعه‌سرا	sowme'esarA
صومعه‌‌نشین	sowme'eneSin
صیاد	sayyAd
صیادی	sayyAdi
صیاد‌‌شیرازی	sayyAdSirAzi
صیام	siyAm
صیانت	siyAnat
صیت	sit
صیحه	seyhe
صید	seyd
صیدا	seydA
صیدگاه	seydgAh
صیدگاهی	seydgAhi
صیدگر	seydgar
صیدی	seydi
صیرفی	seyrafi
صیغه	siqe
صیغه‌ای	siqe'i
صیف	seyf
صیفی	seyfi
صیفی‌جات	seyfijAt
صیفی‌کاری	seyfikAri
صیقل	seyqal
صیقلی	seyqali
صیقل‌‌خورده	seyqalxorde
ص‌ص	safhehAye
ض	zAd
ضابط	zAbet
ضابطه	zAbete
ضابطه‌‌ای	zAbete'i
ضابطه‌‌مند	zAbetemand
ضابطه‌‌مندی	zAbetemandi
ضابطی	zAbeti
ضاد	zAd
ضارب	zAreb
ضاله	zAlle
ضالین	zAllin
ضامن	zAmen
ضامن‌‌دار	zAmendAr
ضایع	zAye'
ضایعات	zAye'At
ضایعاتی	zAye'Ati
ضایعه	zAye'e
ضایع‌‌شده	zAye'Sode
ضباط	zabbAt
ضبط	zabt
ضبطی	zabti
ضبط‌‌شده	zabtSode
ضجه	zajje
ضحاک	zahhAk
ضحی	zohA
ضخامت	zexAmat
ضخم	zaxm
ضخیم	zaxim
ضد	zedd
ضدآب	zedde'Ab
ضداخلاقی	zedde'axlAqi
ضدارزش	zedde'arzeS
ضداستبدادی	zedde'estebdAdi
ضداستکباری	zedde'estekbAri
ضدامنیتی	zedde'amniyyati
ضدانسانی	zedde'ensAni
ضدبارداری	zeddebArdAri
ضدبشری	zeddebaSari
ضدتانک	zeddetAnk
ضدتروریسم	zeddeterorism
ضدتشنج	zeddetaSannoj
ضدجاسوسی	zeddejAsusi
ضددولتی	zeddedowlati
ضدزنگ	zeddezang
ضدزیردریایی	zeddezirdaryAyi
ضدسرطانی	seddesaretAni
ضدعفونی	zedde'ofuni
ضدعفونی‌‌کننده	zedde'ofunikonande
ضدمالاریا	zeddemAlAriyA
ضدنفر	zeddenafar
ضدهوائی	zeddehavA'i
ضدهوایی	zeddehavAyi
ضدویروس	zeddevirus
ضدویروسی	zeddevirusi
ضدکشتی	zeddkoSti
ضدکودتا	zeddekudetA
ضدگلوله	zeddegulule
ضدیت	zeddiyyat
ضدیخ	zeddeyax
ضدیهودی	zeddeyahudi
ضد‌اسلامی	zedde'eslAmi
ضد‌انقلاب	zedde'enqelAb
ضد‌‌آفتاب	zedde'AftAb
ضد‌‌آمریکایی	zedde'AmrikAyi
ضد‌‌اجتماعی	zedde'ejtemA'i
ضد‌‌استعماری	zedde'este'mAri
ضد‌‌اسرائیلی	zedde'esrA'ili
ضد‌‌افسردگی	zedde'afsordegi
ضد‌‌امپریالیستی	zedde'amperyAlisti
ضد‌‌انحصار	zedde'enhesAr
ضد‌‌انقلابی	zedde'enqelAbi
ضد‌‌انگلیسی	zedde'engilisi
ضد‌‌ایرانی	zedde'irAni
ضد‌‌بالستیک	seddebAlestik
ضد‌‌تروریست	zeddeterorist
ضد‌‌تروریستی	zeddeteroristi
ضد‌‌حمله	zeddehamle
ضد‌‌حکومتی	zeddehokumati
ضد‌‌خشونت	zeddexoSunat
ضد‌‌درد	zeddedard
ضد‌‌دین	zeddedin
ضد‌‌دینی	zeddedini
ضد‌‌روسی	zedderusi
ضد‌‌سرطان	zeddesaretAn
ضد‌‌شورش	zeddeSureS
ضد‌‌صهیونیستی	zeddesahyunisti
ضد‌‌فوتبال	zeddefutbAl
ضد‌‌مذهبی	zeddemazhabi
ضد‌‌مردمی	zeddemardomi
ضد‌‌ملی	zeddemelli
ضد‌‌موشک	zeddemuSak
ضد‌‌موشکی	zeddemuSaki
ضد‌‌میکروب	zeddemikrob
ضد‌‌نژادپرستی	zeddeneZAdparasti
ضد‌‌کمونیستی	zeddekomonisti
ضرابخانه	zarrAbxAne
ضرابی	zarrAbi
ضرابیان	zarrAbiyAn
ضرار	zarAr
ضرایب	zarAyeb
ضرب	zarb
ضربات	zarabAt
ضربان	zarabAn
ضربان‌‌دار	zarebAndAr
ضرباهنگ	zarbAhang
ضربت	zarbat
ضربتی	zarbati
ضربدر	zarbdar
ضربدری	zarbdari
ضربه	zarbe
ضربه‌زنی	zarbezani
ضربه‌فنی	zarbefanni
ضربه‌پذیر	zarbepazir
ضربه‌‌ای	zarbe'i
ضربه‌‌گیر	zarbegir
ضربه‌‌گیری	zarbegiri
ضربگیر	zarbgir
ضربی	zarbi
ضرب‌الاجل	zarbol'ajal
ضرب‌وشتم	zarboSatm
ضرب‌‌المثل	zarbolmasal
ضرب‌‌خوردگی	zarbxordegi
ضرب‌‌دیدگی	zarbdidegi
ضرب‌‌کننده	zarbkonande
ضرر	zarar
ضرر‌‌کرده	zararkarde
ضرس	zers
ضرغام	zarqAm
ضرغامی	zarqAmi
ضرور	zarur
ضرورت	zarurat
ضروری	zaruri
ضروریات	zaruriyyAt
ضریب	zarib
ضریح	zarih
ضریر	zarir
ضریع	zari'
ضظغ	zazeq
ضعف	za'f
ضعفا	zo'afA
ضعیف	za'if
ضعیفه	za'ife
ضعیفی	za'ifi
ضعیف‌‌النفس	za'ifonnafs
ضعیف‌‌شده	za'ifSode
ضعیف‌‌کش	za'ifkoS
ضلال	zalAl
ضلالت	zelAlat
ضلع	zel'
ضلعی	zel'i
ضم	zamm
ضمائر	zamA'er
ضمائم	zamA'em
ضماد	zemAd
ضمان	zamAn
ضمانت	zemAnat
ضمانت‌نامه	zemAnatnAme
ضمایر	zamAyer
ضمایم	zamAyem
ضمن	zemn
ضمنی	zemni
ضمه	zamme
ضمیر	zamir
ضمیمه	zamime
ضمیمه‌‌ای	zamime'i
ضنت	zennat
ضوابط	zavAbet
ضیا	ziyA
ضیاء	ziyA
ضیاءالحق	ziyA'olhaqq
ضیاءالدین	ziyA'oddin
ضیاء‌‌پور	ziyA'pur
ضیائی	ziyA'i
ضیائیه	ziyA'iyye
ضیاع	ziyA'
ضیافت	ziyAfat
ضیاپور	ziyApur
ضیایی	ziyAyi
ضیق	ziq
ضیمران	zaymorAn
ط	tA
طا	tA
طائر	tA'er
طائف	tA'ef
طائفه	tA'efe
طائفی	tA'efi
طائل	tA'el
طابق	tAbaq
طارق	tAreq
طارم	tArom
طارمی	tArami
طاری	tAri
طاس	tAs
طاسی	tAsi
طاعات	tA'At
طاعت	tA'at
طاعتی	tA'ati
طاعون	tA'un
طاعونی	tA'uni
طاغوت	tAqut
طاغوتی	tAquti
طاغی	tAqi
طاق	tAq
طاقت	tAqat
طاقت‌فرسا	tAqatfarsA
طاقت‌‌سوز	tAqatsuz
طاقدیس	tAqdis
طاقدیسی	tAqdisi
طاقه	tAqe
طاقچه	tAqCe
طاقگان	tAqegAn
طاق‌‌باز	tAqbAz
طاق‌‌بستان	tAqebostAn
طاق‌‌بندی	tAqbandi
طاق‌‌نما	tAqnamA
طالار	tAlAr
طالب	tAleb
طالبان	tAlebAn
طالبانی	tAlebAni
طالبوف	tAlbof
طالبی	tAlebi
طالبیان	tAlebiyAn
طالبی‌‌نژاد	tAlebineZAd
طالب‌‌زاده	tAlebzAde
طالب‌‌لو	tAleblu
طالح	tAleh
طالش	tAleS
طالشی	tAleSi
طالش‌‌محله	tAleSmahalle
طالع	tAle'
طالع‌‌بین	tAle'bin
طالع‌‌بینی	tAle'bini
طالقان	tAleqAn
طالقانی	tAleqAni
طالقان‌‌رود	tAleqAnrud
